id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,cliente_fora_do_padrao,receita_total,mes,ano,mes_nome,trimestre,faixa_receita_item,receita_em_milhares,perfil_volume
1,2025-05-21,Cliente_016,Mouse,Perifericos,Sudeste,2,102.9,True,205.8,5,2025,Maio,Q2,Baixo Valor,0.21,Baixo Volume
3,2025-03-23,Cliente_045,Tablet,Celulares,Centro-Oeste,1,1939.76,False,1939.76,3,2025,Março,Q1,Medio Valor,1.94,Baixo Volume
4,2025-11-06,Cliente_017,Notebook,Computadores,Norte,6,3864.87,False,23189.22,11,2025,Novembro,Q4,Alto Valor,23.19,Alto Volume
5,2025-07-05,Cliente_037,Tablet,Celulares,Sul,10,2008.14,False,20081.4,7,2025,Julho,Q3,Alto Valor,20.08,Alto Volume
6,2025-08-21,Cliente_041,Headset,Perifericos,Sudeste,2,337.41,False,674.82,8,2025,Agosto,Q3,Medio Valor,0.67,Baixo Volume
7,2025-05-06,Cliente_011,Teclado,Perifericos,Nordeste,3,252.56,False,757.6800000000001,5,2025,Maio,Q2,Medio Valor,0.76,Baixo Volume
8,2025-01-17,Cliente_021,Headset,Perifericos,Sul,1,321.55,False,321.55,1,2025,Janeiro,Q1,Baixo Valor,0.32,Baixo Volume
9,2025-11-26,Cliente_030,Mouse,Perifericos,Centro-Oeste,8,116.24,False,929.92,11,2025,Novembro,Q4,Medio Valor,0.93,Alto Volume
10,2025-03-12,Cliente_033,Teclado,Perifericos,Centro-Oeste,7,239.65,False,1677.55,3,2025,Março,Q1,Medio Valor,1.68,Alto Volume
12,2025-06-24,Cliente_008,Headset,Perifericos,Norte,5,378.2,False,1891.0,6,2025,Junho,Q2,Medio Valor,1.89,Baixo Volume
13,2025-02-24,Cliente_041,Headset,Perifericos,Norte,3,350.81,False,1052.43,2,2025,Fevereiro,Q1,Medio Valor,1.05,Baixo Volume
14,2025-11-03,Cliente_021,Headset,Perifericos,Sul,9,393.94,False,3545.46,11,2025,Novembro,Q4,Medio Valor,3.55,Alto Volume
15,2025-02-10,Cliente_006,Notebook,Computadores,Centro-Oeste,4,3896.91,False,15587.64,2,2025,Fevereiro,Q1,Alto Valor,15.59,Baixo Volume
16,2025-11-07,Cliente_028,Teclado,Perifericos,Centro-Oeste,3,232.38,False,697.14,11,2025,Novembro,Q4,Medio Valor,0.7,Baixo Volume
17,2025-09-22,Cliente_029,Mouse,Perifericos,Sul,6,117.77,False,706.62,9,2025,Setembro,Q3,Medio Valor,0.71,Alto Volume
19,2025-10-20,Cliente_037,Smartphone,Celulares,Nordeste,9,1957.33,True,17615.97,10,2025,Outubro,Q4,Alto Valor,17.62,Alto Volume
20,2025-01-28,Cliente_044,Monitor,Computadores,Sudeste,7,1188.13,False,8316.91,1,2025,Janeiro,Q1,Alto Valor,8.32,Alto Volume
21,2025-08-18,Cliente_009,Smartphone,Celulares,Norte,4,1995.54,False,7982.16,8,2025,Agosto,Q3,Alto Valor,7.98,Baixo Volume
22,2025-10-04,Cliente_001,Notebook,Computadores,Sul,1,3659.75,False,3659.75,10,2025,Outubro,Q4,Medio Valor,3.66,Baixo Volume
24,2025-06-01,Cliente_014,Mouse,Perifericos,Norte,8,107.57,True,860.56,6,2025,Junho,Q2,Medio Valor,0.86,Alto Volume
25,2025-09-18,Cliente_006,Headset,Perifericos,Norte,9,314.03,False,2826.2699999999995,9,2025,Setembro,Q3,Medio Valor,2.83,Alto Volume
26,2025-11-14,Cliente_006,Smartphone,Celulares,Nordeste,10,2262.38,False,22623.800000000003,11,2025,Novembro,Q4,Alto Valor,22.62,Alto Volume
27,2025-12-10,Cliente_042,Smartphone,Celulares,Norte,5,2131.22,False,10656.099999999999,12,2025,Dezembro,Q4,Alto Valor,10.66,Baixo Volume
28,2025-09-17,Cliente_017,Notebook,Computadores,Centro-Oeste,2,3539.52,False,7079.04,9,2025,Setembro,Q3,Alto Valor,7.08,Baixo Volume
29,2025-11-10,Cliente_042,Headset,Perifericos,Sul,9,371.37,False,3342.33,11,2025,Novembro,Q4,Medio Valor,3.34,Alto Volume
30,2025-10-11,Cliente_010,Tablet,Celulares,Nordeste,2,2010.44,False,4020.88,10,2025,Outubro,Q4,Medio Valor,4.02,Baixo Volume
31,2025-01-27,Cliente_006,Teclado,Perifericos,Nordeste,8,231.33,False,1850.64,1,2025,Janeiro,Q1,Medio Valor,1.85,Alto Volume
33,2025-03-07,Cliente_003,Teclado,Perifericos,Sul,9,223.61,False,2012.4900000000002,3,2025,Março,Q1,Medio Valor,2.01,Alto Volume
34,2025-07-01,Cliente_050,Mouse,Perifericos,Sul,4,126.01,False,504.04,7,2025,Julho,Q3,Medio Valor,0.5,Baixo Volume
36,2025-02-25,Cliente_025,Tablet,Celulares,Nordeste,3,1955.18,False,5865.54,2,2025,Fevereiro,Q1,Alto Valor,5.87,Baixo Volume
37,2025-12-04,Cliente_013,Headset,Perifericos,Norte,4,320.91,False,1283.64,12,2025,Dezembro,Q4,Medio Valor,1.28,Baixo Volume
38,2025-01-15,Cliente_008,Monitor,Computadores,Nordeste,9,1139.21,True,10252.89,1,2025,Janeiro,Q1,Alto Valor,10.25,Alto Volume
39,2025-09-19,Cliente_008,Mouse,Perifericos,Nordeste,6,117.71,True,706.26,9,2025,Setembro,Q3,Medio Valor,0.71,Alto Volume
40,2025-06-19,Cliente_040,Monitor,Computadores,Centro-Oeste,2,1361.59,False,2723.18,6,2025,Junho,Q2,Medio Valor,2.72,Baixo Volume
41,2025-10-11,Cliente_009,Tablet,Celulares,Norte,7,1906.49,False,13345.43,10,2025,Outubro,Q4,Alto Valor,13.35,Alto Volume
42,2025-01-01,Cliente_020,Tablet,Celulares,Centro-Oeste,7,1825.89,False,12781.230000000001,1,2025,Janeiro,Q1,Alto Valor,12.78,Alto Volume
43,2025-03-28,Cliente_043,Mouse,Perifericos,Sul,4,120.4,False,481.6,3,2025,Março,Q1,Baixo Valor,0.48,Baixo Volume
46,2025-12-23,Cliente_034,Smartphone,Celulares,Centro-Oeste,3,2400.71,False,7202.13,12,2025,Dezembro,Q4,Alto Valor,7.2,Baixo Volume
47,2025-11-01,Cliente_021,Mouse,Perifericos,Norte,9,137.56,False,1238.04,11,2025,Novembro,Q4,Medio Valor,1.24,Alto Volume
48,2025-09-01,Cliente_029,Monitor,Computadores,Sul,3,1287.72,False,3863.16,9,2025,Setembro,Q3,Medio Valor,3.86,Baixo Volume
49,2025-05-27,Cliente_016,Tablet,Celulares,Sul,8,1571.84,False,12574.72,5,2025,Maio,Q2,Alto Valor,12.57,Alto Volume
50,2025-07-28,Cliente_022,Mouse,Perifericos,Norte,4,104.31,False,417.24,7,2025,Julho,Q3,Baixo Valor,0.42,Baixo Volume
51,2025-10-22,Cliente_025,Mouse,Perifericos,Centro-Oeste,1,132.84,False,132.84,10,2025,Outubro,Q4,Baixo Valor,0.13,Baixo Volume
52,2025-04-23,Cliente_032,Teclado,Perifericos,Centro-Oeste,9,272.49,False,2452.41,4,2025,Abril,Q2,Medio Valor,2.45,Alto Volume
53,2025-03-07,Cliente_040,Mouse,Perifericos,Sul,3,132.26,True,396.78,3,2025,Março,Q1,Baixo Valor,0.4,Baixo Volume
54,2025-05-14,Cliente_025,Headset,Perifericos,Centro-Oeste,8,316.58,False,2532.64,5,2025,Maio,Q2,Medio Valor,2.53,Alto Volume
55,2025-10-04,Cliente_004,Tablet,Celulares,Sudeste,2,1783.97,False,3567.94,10,2025,Outubro,Q4,Medio Valor,3.57,Baixo Volume
56,2025-11-15,Cliente_010,Smartphone,Celulares,Nordeste,4,2423.89,False,9695.56,11,2025,Novembro,Q4,Alto Valor,9.7,Baixo Volume
57,2025-11-07,Cliente_048,Headset,Perifericos,Nordeste,6,315.12,False,1890.72,11,2025,Novembro,Q4,Medio Valor,1.89,Alto Volume
58,2025-04-12,Cliente_005,Teclado,Perifericos,Norte,7,242.25,False,1695.75,4,2025,Abril,Q2,Medio Valor,1.7,Alto Volume
59,2025-10-17,Cliente_003,Headset,Perifericos,Centro-Oeste,2,381.1,False,762.2,10,2025,Outubro,Q4,Medio Valor,0.76,Baixo Volume
60,2025-07-05,Cliente_041,Headset,Perifericos,Nordeste,8,308.58,False,2468.64,7,2025,Julho,Q3,Medio Valor,2.47,Alto Volume
61,2025-08-27,Cliente_028,Teclado,Perifericos,Nordeste,9,270.6,False,2435.4,8,2025,Agosto,Q3,Medio Valor,2.44,Alto Volume
62,2025-10-19,Cliente_040,Monitor,Computadores,Nordeste,4,1290.17,False,5160.68,10,2025,Outubro,Q4,Alto Valor,5.16,Baixo Volume
63,2025-11-02,Cliente_045,Headset,Perifericos,Centro-Oeste,5,333.24,False,1666.2,11,2025,Novembro,Q4,Medio Valor,1.67,Baixo Volume
64,2025-12-20,Cliente_031,Monitor,Computadores,Sul,9,1292.94,False,11636.460000000001,12,2025,Dezembro,Q4,Alto Valor,11.64,Alto Volume
65,2025-10-11,Cliente_034,Tablet,Celulares,Nordeste,10,1729.27,False,17292.7,10,2025,Outubro,Q4,Alto Valor,17.29,Alto Volume
66,2025-04-09,Cliente_021,Tablet,Celulares,Centro-Oeste,4,1595.15,False,6380.6,4,2025,Abril,Q2,Alto Valor,6.38,Baixo Volume
67,2025-09-26,Cliente_039,Tablet,Celulares,Sudeste,10,2057.37,False,20573.699999999997,9,2025,Setembro,Q3,Alto Valor,20.57,Alto Volume
68,2025-01-24,Cliente_004,Mouse,Perifericos,Sudeste,9,106.56,False,959.04,1,2025,Janeiro,Q1,Medio Valor,0.96,Alto Volume
69,2025-08-14,Cliente_022,Teclado,Perifericos,Centro-Oeste,5,247.7,False,1238.5,8,2025,Agosto,Q3,Medio Valor,1.24,Baixo Volume
70,2025-12-18,Cliente_004,Monitor,Computadores,Norte,2,1227.73,False,2455.46,12,2025,Dezembro,Q4,Medio Valor,2.46,Baixo Volume
71,2025-11-13,Cliente_015,Headset,Perifericos,Centro-Oeste,7,361.16,False,2528.1200000000003,11,2025,Novembro,Q4,Medio Valor,2.53,Alto Volume
72,2025-11-09,Cliente_048,Tablet,Celulares,Sul,10,1865.35,True,18653.5,11,2025,Novembro,Q4,Alto Valor,18.65,Alto Volume
73,2025-07-29,Cliente_029,Teclado,Perifericos,Centro-Oeste,2,224.24,False,448.48,7,2025,Julho,Q3,Baixo Valor,0.45,Baixo Volume
74,2025-11-17,Cliente_038,Notebook,Computadores,Nordeste,4,3945.11,False,15780.44,11,2025,Novembro,Q4,Alto Valor,15.78,Baixo Volume
75,2025-03-26,Cliente_020,Headset,Perifericos,Nordeste,3,305.0,False,915.0,3,2025,Março,Q1,Medio Valor,0.92,Baixo Volume
76,2025-09-14,Cliente_035,Mouse,Perifericos,Nordeste,7,135.94,False,951.5799999999999,9,2025,Setembro,Q3,Medio Valor,0.95,Alto Volume
78,2025-05-23,Cliente_012,Monitor,Computadores,Centro-Oeste,9,1254.54,False,11290.86,5,2025,Maio,Q2,Alto Valor,11.29,Alto Volume
79,2025-03-24,Cliente_022,Tablet,Celulares,Sudeste,6,1891.87,False,11351.22,3,2025,Março,Q1,Alto Valor,11.35,Alto Volume
80,2025-06-15,Cliente_008,Monitor,Computadores,Norte,2,1133.23,False,2266.46,6,2025,Junho,Q2,Medio Valor,2.27,Baixo Volume
81,2025-09-23,Cliente_024,Monitor,Computadores,Sul,7,1039.51,False,7276.57,9,2025,Setembro,Q3,Alto Valor,7.28,Alto Volume
83,2025-02-28,Cliente_030,Teclado,Perifericos,Nordeste,7,219.49,False,1536.43,2,2025,Fevereiro,Q1,Medio Valor,1.54,Alto Volume
84,2025-05-05,Cliente_030,Monitor,Computadores,Sudeste,8,1372.89,False,10983.12,5,2025,Maio,Q2,Alto Valor,10.98,Alto Volume
85,2025-09-17,Cliente_018,Tablet,Celulares,Centro-Oeste,7,1713.53,False,11994.71,9,2025,Setembro,Q3,Alto Valor,11.99,Alto Volume
86,2025-09-05,Cliente_023,Headset,Perifericos,Sul,3,344.39,False,1033.17,9,2025,Setembro,Q3,Medio Valor,1.03,Baixo Volume
87,2025-07-30,Cliente_003,Teclado,Perifericos,Sul,7,230.02,False,1610.14,7,2025,Julho,Q3,Medio Valor,1.61,Alto Volume
88,2025-10-30,Cliente_022,Monitor,Computadores,Sul,1,1065.45,False,1065.45,10,2025,Outubro,Q4,Medio Valor,1.07,Baixo Volume
89,2025-05-16,Cliente_022,Monitor,Computadores,Norte,3,1046.94,False,3140.82,5,2025,Maio,Q2,Medio Valor,3.14,Baixo Volume
91,2025-12-27,Cliente_007,Monitor,Computadores,Nordeste,2,1293.73,False,2587.46,12,2025,Dezembro,Q4,Medio Valor,2.59,Baixo Volume
92,2025-05-06,Cliente_034,Tablet,Celulares,Centro-Oeste,6,1762.57,False,10575.42,5,2025,Maio,Q2,Alto Valor,10.58,Alto Volume
93,2025-10-26,Cliente_010,Teclado,Perifericos,Centro-Oeste,4,249.83,False,999.32,10,2025,Outubro,Q4,Medio Valor,1.0,Baixo Volume
94,2025-08-15,Cliente_023,Tablet,Celulares,Nordeste,9,1615.31,False,14537.789999999999,8,2025,Agosto,Q3,Alto Valor,14.54,Alto Volume
95,2025-02-24,Cliente_016,Smartphone,Celulares,Nordeste,7,2433.2,True,17032.399999999998,2,2025,Fevereiro,Q1,Alto Valor,17.03,Alto Volume
96,2025-01-26,Cliente_039,Notebook,Computadores,Nordeste,10,3883.32,False,38833.200000000004,1,2025,Janeiro,Q1,Alto Valor,38.83,Alto Volume
97,2025-12-14,Cliente_049,Smartphone,Celulares,Sudeste,4,2279.79,False,9119.16,12,2025,Dezembro,Q4,Alto Valor,9.12,Baixo Volume
