cliente,total_gasto,segmento
Cliente_001,3659.75,Bronze
Cliente_002,967.08,Bronze
Cliente_003,35525.979999999996,Ouro
Cliente_004,10102.74,Prata
Cliente_005,17200.67,Ouro
Cliente_006,65905.09,Ouro
Cliente_007,6521.52,Prata
Cliente_008,22277.93,Ouro
Cliente_009,50827.96,Ouro
Cliente_010,15683.95,Ouro
Cliente_011,56391.77,Ouro
Cliente_012,39549.119999999995,Ouro
Cliente_013,6449.540000000001,Prata
Cliente_014,20914.960000000003,Ouro
Cliente_015,4734.92,Bronze
Cliente_016,31653.419999999995,Ouro
Cliente_017,34462.64,Ouro
Cliente_018,13810.07,Prata
Cliente_019,40731.05,Ouro
Cliente_020,58459.54,Ouro
Cliente_021,18608.7,Ouro
Cliente_022,26226.36,Ouro
Cliente_023,17207.52,Ouro
Cliente_024,49146.94,Ouro
Cliente_025,8531.02,Prata
Cliente_026,21061.58,Ouro
Cliente_027,37349.85,Ouro
Cliente_028,9653.96,Prata
Cliente_029,36318.05,Ouro
Cliente_030,13449.470000000001,Prata
Cliente_031,18432.7,Ouro
Cliente_032,20888.06,Ouro
Cliente_033,10847.97,Prata
Cliente_034,52035.600000000006,Ouro
Cliente_035,2257.06,Bronze
Cliente_036,63433.04,Ouro
Cliente_037,46897.17,Ouro
Cliente_038,15780.44,Ouro
Cliente_039,59406.9,Ouro
Cliente_040,8932.93,Prata
Cliente_041,19516.45,Ouro
Cliente_042,35356.89,Ouro
Cliente_043,481.6,Bronze
Cliente_044,33507.69,Ouro
Cliente_045,3605.96,Bronze
Cliente_046,6643.51,Prata
Cliente_047,38291.74,Ouro
Cliente_048,27101.02,Ouro
Cliente_049,18654.2,Ouro
Cliente_050,34892.22,Ouro
