mes_nome,Celulares,Computadores,Perifericos
Janeiro,28938.420000000002,81965.37000000001,9962.46
Fevereiro,50406.68,15587.64,7901.42
Março,59484.149999999994,51590.850000000006,12794.23
Abril,10313.900000000001,66174.58,4148.16
Maio,94219.58,28776.97,9084.07
Junho,84367.11,15108.359999999999,7059.01
Julho,43887.350000000006,54856.409999999996,7923.54
Agosto,59053.14,20942.6,5794.64
Setembro,37815.17,35184.12,11082.3
Outubro,75897.32,28321.530000000002,6647.01
Novembro,67231.56,74342.62,18723.59
Dezembro,26977.39,70878.47,6904.58
