id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2025-05-21,cliente#016,Mouse,Perifericos,Sudeste,2,102.9
2,2025-09-16,Cliente_039,Notebook,Computadores,Norte,,3204.57
3,2025-03-23,Cliente_045,Tablet,Celulares,Centro-Oeste,1,1939.76
4,2025-11-06,Cliente_017,Notebook,Computadores,Norte,6,3864.87
5,2025-07-05,Cliente_037,Tablet,Celulares,Sul,10,2008.14
6,2025-08-21,Cliente_041,Headset,Perifericos,Sudeste,2,337.41
7,2025-05-06,Cliente_011,Teclado,Perifericos,Nordeste,3,252.56
8,2025-01-17,Cliente_021,Headset,Perifericos,Sul,1,321.55
9,2025-11-26,Cliente_030,Mouse,Perifericos,Centro-Oeste,8,116.24
10,2025-03-12,Cliente_033,Teclado,Perifericos,Centro-Oeste,7,239.65
11,DATA INVALIDA,Cliente_030,Teclado,Perifericos,Norte,2,241.36
12,2025-06-24,Cliente_008, Headset ,Perifericos,Norte,5,378.2
13,2025-02-24,Cliente_041,Headset,Perifericos,Norte,3,350.81
14,2025-11-03,Cliente_021,Headset,Perifericos,Sul,9,393.94
15,2025-02-10,Cliente_006,Notebook,Computadores,Centro-Oeste,4,3896.91
16,2025-11-07,Cliente_028,Teclado,Perifericos,Centro-Oeste,3,232.38
17,2025-09-22,Cliente_029,Mouse,Perifericos,Sul,6,117.77
18,2025-01-31,Cliente_015,Notebook,Computadores,Centro-Oeste,2,
19,2025-10-20,cliente#037,Smartphone,Celulares,Nordeste,9,1957.33
20,2025-01-28,Cliente_044,Monitor,Computadores,Sudeste,7,1188.13
21,2025-08-18,Cliente_009,Smartphone,Celulares,Norte,4,1995.54
22,2025-10-04,Cliente_001,Notebook,Computadores,Sul,1,3659.75
23,2025-03-26,Cliente_025,Headset,Perifericos,Norte,,392.26
24,2025-06-01,cliente#014,Mouse,Perifericos,Norte,8,107.57
25,2025-09-18,Cliente_006,Headset,Perifericos,Norte,9,314.03
26,2025-11-14,Cliente_006,Smartphone,Celulares,Nordeste,10,2262.38
27,2025-12-10,Cliente_042,Smartphone,Celulares,Norte,5,2131.22
28,2025-09-17,Cliente_017,Notebook,Computadores,Centro-Oeste,2,3539.52
29,2025-11-10,Cliente_042,Headset,Perifericos,Sul,9,371.37
30,2025-10-11,Cliente_010,Tablet,Celulares,Nordeste,2,2010.44
31,2025-01-27,Cliente_006, Teclado ,Perifericos,Nordeste,8,231.33
32,2025-08-07,Cliente_036,Smartphone,Celulares,Nordeste,,2234.11
33,2025-03-07,Cliente_003,Teclado,Perifericos,Sul,9,223.61
34,2025-07-01,Cliente_050,Mouse,Perifericos,Sul,4,126.01
35,2025-04-01,Cliente_027,Headset,Perifericos,Sul,,400.0
36,2025-02-25,Cliente_025,Tablet,Celulares,Nordeste,3,1955.18
37,2025-12-04,Cliente_013,Headset,Perifericos,Norte,4,320.91
38,2025-01-15,cliente#008,Monitor,Computadores,Nordeste,9,1139.21
39,2025-09-19,Cliente_008!!,Mouse,Perifericos,Nordeste,6,117.71
40,2025-06-19,Cliente_040,Monitor,Computadores,Centro-Oeste,2,1361.59
41,2025-10-11,Cliente_009,Tablet,Celulares,Norte,7,1906.49
42,2025-01-01,Cliente_020,Tablet,Celulares,Centro-Oeste,7,1825.89
43,2025-03-28,Cliente_043,Mouse,Perifericos,Sul,4,120.4
44,2025-04-12,cliente#010,Mouse,Perifericos,Norte,,110.09
45,2025-05-05,Cliente_010,Smartphone,Celulares,Centro-Oeste,7,
46,2025-12-23,Cliente_034,Smartphone,Celulares,Centro-Oeste,3,2400.71
47,2025-11-01,Cliente_021,Mouse,Perifericos,Norte,9,137.56
48,2025-09-01,Cliente_029,Monitor,Computadores,Sul,3,1287.72
49,2025-05-27,Cliente_016,Tablet,Celulares,Sul,8,1571.84
50,2025-07-28,Cliente_022,Mouse,Perifericos,Norte,4,104.31
51,2025-10-22,Cliente_025,Mouse,Perifericos,Centro-Oeste,1,132.84
52,2025-04-23,Cliente_032, Teclado ,Perifericos,Centro-Oeste,9,272.49
53,2025-03-07,cliente#040,Mouse,Perifericos,Sul,3,132.26
54,2025-05-14,Cliente_025,Headset,Perifericos,Centro-Oeste,8,316.58
55,2025-10-04,Cliente_004,Tablet,Celulares,Sudeste,2,1783.97
56,2025-11-15,Cliente_010,Smartphone,Celulares,Nordeste,4,2423.89
57,2025-11-07,Cliente_048,Headset,Perifericos,Nordeste,6,315.12
58,2025-04-12,Cliente_005,Teclado,Perifericos,Norte,7,242.25
59,2025-10-17,Cliente_003,Headset,Perifericos,Centro-Oeste,2,381.1
60,2025-07-05,Cliente_041,Headset,Perifericos,Nordeste,8,308.58
61,2025-08-27,Cliente_028,Teclado,Perifericos,Nordeste,9,270.6
62,2025-10-19,Cliente_040,Monitor,Computadores,Nordeste,4,1290.17
63,2025-11-02,Cliente_045,Headset,Perifericos,Centro-Oeste,5,333.24
64,2025-12-20,Cliente_031,Monitor,Computadores,Sul,9,1292.94
65,2025-10-11,Cliente_034,Tablet,Celulares,Nordeste,10,1729.27
66,2025-04-09,Cliente_021,Tablet,Celulares,Centro-Oeste,4,1595.15
67,2025-09-26,Cliente_039,Tablet,Celulares,Sudeste,10,2057.37
68,2025-01-24,Cliente_004,Mouse,Perifericos,Sudeste,9,106.56
69,2025-08-14,Cliente_022,Teclado,Perifericos,Centro-Oeste,5,247.7
70,2025-12-18,Cliente_004,Monitor,Computadores,Norte,2,1227.73
71,2025-11-13,Cliente_015,Headset,Perifericos,Centro-Oeste,7,361.16
72,2025-11-09,Cliente_048!!,Tablet,Celulares,Sul,10,1865.35
73,2025-07-29,Cliente_029, Teclado ,Perifericos,Centro-Oeste,2,224.24
74,2025-11-17,Cliente_038,Notebook,Computadores,Nordeste,4,3945.11
75,2025-03-26,Cliente_020,Headset,Perifericos,Nordeste,3,305.0
76,2025-09-14,Cliente_035, Mouse ,Perifericos,Nordeste,7,135.94
77,2025-12-12,Cliente_037,Notebook,Computadores,Sul,2,
78,2025-05-23,Cliente_012,Monitor,Computadores,Centro-Oeste,9,1254.54
79,2025-03-24,Cliente_022,Tablet,Celulares,Sudeste,6,1891.87
80,2025-06-15,Cliente_008,Monitor,Computadores,Norte,2,1133.23
81,2025-09-23,Cliente_024,Monitor,Computadores,Sul,7,1039.51
82,2025-09-06,Cliente_008,Tablet,Celulares,Sudeste,,2005.66
83,2025-02-28,Cliente_030,Teclado,Perifericos,Nordeste,7,219.49
84,2025-05-05,Cliente_030,Monitor,Computadores,Sudeste,8,1372.89
